base_station_id,latitude,longitude,coverage_type
BS101,32.0450,118.7880,室外
BS102,32.0455,118.7885,室外
BS103,32.0460,118.7890,室外
BS104,32.0465,118.7895,室外
BS105,32.0480,118.7910,室外
BS106,32.0485,118.7915,室外
BS107,32.0490,118.7925,室外
BS108,32.0492,118.7930,室外
BS109,32.0440,118.7870,室外
BS110,32.0445,118.7875,室外
BS201,32.0462,118.7882,室内
BS202,32.0468,118.7888,室内
BS203,32.0470,118.7890,室内
BS204,32.0472,118.7892,室内
BS205,32.0475,118.7895,室内
BS206,32.0478,118.7900,室内
BS207,32.0481,118.7912,室内
BS208,32.0483,118.7918,室内
BS209,32.0486,118.7922,室内
BS210,32.0488,118.7924,室内
BS211,32.0460,118.7880,室内
BS212,32.0461,118.7881,室内
BS213,32.0477,118.7897,室内
BS214,32.0479,118.7902,室内
BS215,32.0482,118.7915,室内
BS216,32.0484,118.7920,室内
BS217,32.0487,118.7926,室内
BS301,32.0495,118.7935,室外
BS302,32.0438,118.7868,室外
