user_id,timestamp,base_station_id,zone,persona_type
U001,2024-06-01 00:33:07,BS211,teaching_core,academic
U002,2024-06-01 00:33:07,BS102,south_residential,dormitory_resident
U003,2024-06-01 00:33:07,BS101,south_residential,academic
U004,2024-06-01 00:33:07,BS214,teaching_core,shopaholic
U005,2024-06-01 00:33:07,BS102,south_residential,student_athlete
U006,2024-06-01 00:33:07,BS101,south_residential,foodie
U007,2024-06-01 00:33:07,BS101,south_residential,social_student
U008,2024-06-01 00:33:07,BS110,south_residential,social_student
U009,2024-06-01 00:33:07,BS301,east_transport,traveler
U010,2024-06-01 00:33:07,BS101,south_residential,academic
U011,2024-06-01 00:33:07,BS109,south_residential,student_athlete
U012,2024-06-01 00:33:07,BS102,south_residential,social_student
U013,2024-06-01 00:33:07,BS110,south_residential,academic
U014,2024-06-01 00:33:07,BS109,south_residential,academic
U015,2024-06-01 00:33:07,BS101,south_residential,academic
U016,2024-06-01 00:33:07,BS109,south_residential,foodie
U017,2024-06-01 00:33:07,BS102,south_residential,academic
U018,2024-06-01 00:33:07,BS106,north_commercial,shopaholic
U019,2024-06-01 00:33:07,BS109,south_residential,dormitory_resident
U020,2024-06-01 00:33:07,BS101,south_residential,academic
U021,2024-06-01 00:33:07,BS209,north_commercial,academic
U022,2024-06-01 00:33:07,BS101,south_residential,academic
U023,2024-06-01 00:33:07,BS210,east_transport,social_student
U024,2024-06-01 00:33:07,BS109,south_residential,academic
U025,2024-06-01 00:33:07,BS213,teaching_core,commuter
U026,2024-06-01 00:33:07,BS302,south_residential,academic
U027,2024-06-01 00:33:07,BS109,south_residential,dormitory_resident
U028,2024-06-01 00:33:07,BS102,south_residential,student_athlete
U029,2024-06-01 00:33:07,BS102,south_residential,foodie
U030,2024-06-01 00:33:07,BS110,south_residential,academic
U031,2024-06-01 00:33:07,BS110,south_residential,academic
U032,2024-06-01 00:33:07,BS110,south_residential,dormitory_resident
U033,2024-06-01 00:33:07,BS101,south_residential,student_athlete
U034,2024-06-01 00:33:07,BS110,south_residential,social_student
U035,2024-06-01 00:33:07,BS109,south_residential,student_athlete
U036,2024-06-01 00:33:07,BS302,south_residential,dormitory_resident
U037,2024-06-01 00:33:07,BS110,south_residential,dormitory_resident
U038,2024-06-01 00:33:07,BS302,south_residential,dormitory_resident
U039,2024-06-01 00:33:07,BS106,north_commercial,dormitory_resident
U040,2024-06-01 00:33:07,BS203,teaching_core,foodie
U041,2024-06-01 00:33:07,BS110,south_residential,shopaholic
U042,2024-06-01 00:33:07,BS205,teaching_core,social_student
U043,2024-06-01 00:33:07,BS101,south_residential,academic
U044,2024-06-01 00:33:07,BS110,south_residential,student_athlete
U045,2024-06-01 00:33:07,BS302,south_residential,academic
U046,2024-06-01 00:33:07,BS110,south_residential,dormitory_resident
U047,2024-06-01 00:33:07,BS110,south_residential,academic
U048,2024-06-01 00:33:07,BS102,south_residential,social_student
U049,2024-06-01 00:33:07,BS101,south_residential,social_student
U050,2024-06-01 00:33:07,BS109,south_residential,dormitory_resident
U001,2024-06-01 01:14:01,BS205,teaching_core,academic
U002,2024-06-01 01:14:01,BS109,south_residential,dormitory_resident
U003,2024-06-01 01:14:01,BS302,south_residential,academic
U004,2024-06-01 01:14:01,BS216,north_commercial,shopaholic
U005,2024-06-01 01:14:01,BS110,south_residential,student_athlete
U006,2024-06-01 01:14:01,BS216,north_commercial,foodie
U007,2024-06-01 01:14:01,BS109,south_residential,social_student
U008,2024-06-01 01:14:01,BS109,south_residential,social_student
U009,2024-06-01 01:14:01,BS107,east_transport,traveler
U010,2024-06-01 01:14:01,BS102,south_residential,academic
U011,2024-06-01 01:14:01,BS101,south_residential,student_athlete
U012,2024-06-01 01:14:01,BS302,south_residential,social_student
U013,2024-06-01 01:14:01,BS302,south_residential,academic
